Datum,Region,Beleg,Umsatz
2024-01-01,Zürich,BEL-000001,50.00
2024-01-02,Genève,BEL-000002,530.48
2024-01-03,Bern,BEL-000003,482.14
2024-01-04,Basel,BEL-000004,322.00
2024-01-05,Zürich,BEL-000005,410.31
2024-01-06,Genève,BEL-000006,651.05
2024-01-07,Bern,BEL-000007,926.36
2024-01-08,Basel,BEL-000008,803.77
2024-01-09,Zürich,BEL-000009,872.33
2024-01-10,Genève,BEL-000010,340.31
2024-01-11,Bern,BEL-000011,87.63
2024-01-12,Basel,BEL-000012,696.50
2024-01-13,Zürich,BEL-000013,406.16
2024-01-14,Genève,BEL-000014,556.69
2024-01-15,Bern,BEL-000015,538.35
2024-01-16,Basel,BEL-000016,792.97
2024-01-17,Zürich,BEL-000017,204.21
2024-01-18,Genève,BEL-000018,808.76
2024-01-19,Bern,BEL-000019,748.32
2024-01-20,Basel,BEL-000020,163.51
2024-01-21,Zürich,BEL-000021,814.56
2024-01-22,Genève,BEL-000022,334.80
2024-01-23,Bern,BEL-000023,791.44
2024-01-24,Basel,BEL-000024,191.58
2024-01-25,Zürich,BEL-000025,859.55
2024-01-26,Genève,BEL-000026,614.64
2024-01-27,Bern,BEL-000027,539.90
2024-01-28,Basel,BEL-000028,370.33
2024-01-29,Zürich,BEL-000029,377.96
2024-01-30,Genève,BEL-000030,435.65
2024-01-31,Bern,BEL-000031,913.16
2024-02-01,Basel,BEL-000032,266.14
2024-02-02,Zürich,BEL-000033,910.17
2024-02-03,Genève,BEL-000034,180.55
2024-02-04,Bern,BEL-000035,77.62
2024-02-05,Basel,BEL-000036,869.53
2024-02-06,Zürich,BEL-000037,681.22
2024-02-07,Genève,BEL-000038,459.94
2024-02-08,Bern,BEL-000039,458.09
2024-02-09,Basel,BEL-000040,854.17
2024-02-10,Zürich,BEL-000041,89.17
2024-02-11,Genève,BEL-000042,166.34
2024-02-12,Bern,BEL-000043,851.89
2024-02-13,Basel,BEL-000044,799.99
2024-02-14,Zürich,BEL-000045,280.19
2024-02-15,Genève,BEL-000046,99.58
2024-02-16,Bern,BEL-000047,78.48
2024-02-17,Basel,BEL-000048,112.91
2024-02-18,Zürich,BEL-000049,930.88
2024-02-19,Genève,BEL-000050,202.75
2024-02-20,Bern,BEL-000051,875.58
2024-02-21,Basel,BEL-000052,783.52
2024-02-22,Zürich,BEL-000053,366.83
2024-02-23,Genève,BEL-000054,798.96
2024-02-24,Bern,BEL-000055,631.90
2024-02-25,Basel,BEL-000056,528.21
2024-02-26,Zürich,BEL-000057,473.25
2024-02-27,Genève,BEL-000058,230.85
2024-02-28,Bern,BEL-000059,456.74
2024-02-29,Basel,BEL-000060,769.06
2024-03-01,Zürich,BEL-000061,651.07
2024-03-02,Genève,BEL-000062,658.44
2024-03-03,Bern,BEL-000063,128.36
2024-03-04,Basel,BEL-000064,750.55
2024-03-05,Zürich,BEL-000065,909.14
2024-03-06,Genève,BEL-000066,192.62
2024-03-07,Bern,BEL-000067,697.09
2024-03-08,Basel,BEL-000068,351.96
2024-03-09,Zürich,BEL-000069,878.95
2024-03-10,Genève,BEL-000070,550.06
2024-03-11,Bern,BEL-000071,448.65
2024-03-12,Basel,BEL-000072,122.90
2024-03-13,Zürich,BEL-000073,910.12
2024-03-14,Genève,BEL-000074,241.98
2024-03-15,Bern,BEL-000075,220.55
2024-03-16,Basel,BEL-000076,432.44
2024-03-17,Zürich,BEL-000077,397.27
2024-03-18,Genève,BEL-000078,123.72
2024-03-19,Bern,BEL-000079,911.32
2024-03-20,Basel,BEL-000080,445.90
2024-03-21,Zürich,BEL-000081,91.07
2024-03-22,Genève,BEL-000082,362.50
2024-03-23,Bern,BEL-000083,601.07
2024-03-24,Basel,BEL-000084,221.12
2024-03-25,Zürich,BEL-000085,139.12
2024-03-26,Genève,BEL-000086,669.39
2024-03-27,Bern,BEL-000087,736.48
2024-03-28,Basel,BEL-000088,889.51
2024-03-29,Zürich,BEL-000089,920.22
2024-03-30,Genève,BEL-000090,436.06
2024-03-31,Bern,BEL-000091,340.88
2024-04-01,Basel,BEL-000092,649.38
2024-04-02,Zürich,BEL-000093,777.38
2024-04-03,Genève,BEL-000094,816.77
2024-04-04,Bern,BEL-000095,261.71
2024-04-05,Basel,BEL-000096,83.03
2024-04-06,Zürich,BEL-000097,227.84
2024-04-07,Genève,BEL-000098,650.82
2024-04-08,Bern,BEL-000099,318.98
2024-04-09,Basel,BEL-000100,265.01
2024-04-10,Zürich,BEL-000101,147.37
2024-04-11,Genève,BEL-000102,470.32
2024-04-12,Bern,BEL-000103,304.15
2024-04-13,Basel,BEL-000104,277.95
2024-04-14,Zürich,BEL-000105,835.91
2024-04-15,Genève,BEL-000106,814.05
2024-04-16,Bern,BEL-000107,740.64
2024-04-17,Basel,BEL-000108,600.12
2024-04-18,Zürich,BEL-000109,411.94
2024-04-19,Genève,BEL-000110,253.38
2024-04-20,Bern,BEL-000111,87.13
2024-04-21,Basel,BEL-000112,670.24
2024-04-22,Zürich,BEL-000113,606.87
2024-04-23,Genève,BEL-000114,324.85
2024-04-24,Bern,BEL-000115,802.92
2024-04-25,Basel,BEL-000116,91.12
2024-04-26,Zürich,BEL-000117,398.01
