id,kunde,betrag
00000,Kunde 00000         , 91595.80
00001,Kunde 00001         , 32977.03
00002,Kunde 00002         , 27497.01
00003,Kunde 00003         , 45862.48
00004,Kunde 00004         , 76790.94
00005,Kunde 00005         , 62742.62
00006,Kunde 00006         , 93179.70
00007,Kunde 00007         , 22156.94
00008,Kunde 00008         , 77298.92
00009,Kunde 00009         , 89948.95
00010,Kunde 00010         , 27180.43
00011,Kunde 00011         , 37265.14
00012,Kunde 00012         , 56688.64
00013,Kunde 00013         , 91872.12
00014,Kunde 00014         , 95019.45
00015,Kunde 00015         ,  8669.95
00016,Kunde 00016         , 93124.48
00017,Kunde 00017         , 21736.62
00018,Kunde 00018         , 56571.73
00019,Kunde 00019         , 10811.15
00020,Kunde 00020         , 43084.55
00021,Kunde 00021         , 37383.13
00022,Kunde 00022         , 68689.01
00023,Kunde 00023         , 29430.04
00024,Kunde 00024         , 95787.15
00025,Kunde 00025         , 65857.72
00026,Kunde 00026         , 68672.55
00027,Kunde 00027         , 65629.30
00028,Kunde 00028         ,  2117.14
00029,Kunde 00029         , 62529.10
00030,Kunde 00030         , 48164.14
00031,Kunde 00031         , 31142.15
00032,Kunde 00032         , 74737.37
00033,Kunde 00033         ,  8885.33
00034,Kunde 00034         , 89195.15
00035,Kunde 00035         , 17570.92
00036,Kunde 00036         ,  3792.80
00037,Kunde 00037         ,  4809.34
00038,Kunde 00038         , 67209.54
00039,Kunde 00039         , 85863.51
00040,Kunde 00040         , 88063.66
00041,Kunde 00041         , 55967.58
00042,Kunde 00042         , 83043.35
00043,Kunde 00043         , 83814.83
00044,Kunde 00044         , 36491.37
00045,Kunde 00045         , 75320.38
00046,Kunde 00046         , 76654.03
00047,Kunde 00047         , 54865.06
00048,Kunde 00048         , 98352.14
00049,Kunde 00049         , 46426.18
00050,Kunde 00050         ,  5987.98
00051,Kunde 00051         , 87997.50
00052,Kunde 00052         , 65551.05
00053,Kunde 00053         , 49374.51
00054,Kunde 00054         , 94529.91
00055,Kunde 00055         , 23045.43
00056,Kunde 00056         , 38158.02
00057,Kunde 00057         ,  5571.35
00058,Kunde 00058         , 14656.21
00059,Kunde 00059         , 29185.60
00060,Kunde 00060         , 26502.44
00061,Kunde 00061         , 65717.57
00062,Kunde 00062         ,  3143.84
00063,Kunde 00063         , 42049.62
00064,Kunde 00064         ,  6808.98
00065,Kunde 00065         , 52379.71
00066,Kunde 00066         , 66396.41
00067,Kunde 00067         , 22200.54
00068,Kunde 00068         , 45734.50
00069,Kunde 00069         , 58504.13
00070,Kunde 00070         ,  2530.45
00071,Kunde 00071         , 45845.08
00072,Kunde 00072         , 16412.98
00073,Kunde 00073         , 32075.31
00074,Kunde 00074         , 81482.36
00075,Kunde 00075         , 75011.80
00076,Kunde 00076         , 68471.91
00077,Kunde 00077         , 59964.74
00078,Kunde 00078         , 52697.12
00079,Kunde 00079         , 27621.08
00080,Kunde 00080         , 70051.81
00081,Kunde 00081         , 87327.88
00082,Kunde 00082         , 42491.79
00083,Kunde 00083         , 57448.12
00084,Kunde 00084         ,  3147.51
00085,Kunde 00085         , 26558.52
00086,Kunde 00086         , 82964.48
00087,Kunde 00087         , 46572.47
00088,Kunde 00088         , 36282.08
00089,Kunde 00089         , 85216.91
00090,Kunde 00090         , 54033.13
00091,Kunde 00091         , 85328.81
00092,Kunde 00092         , 12537.72
00093,Kunde 00093         , 81464.49
00094,Kunde 00094         , 60884.84
00095,Kunde 00095         , 79025.77
00096,Kunde 00096         , 46327.50
00097,Kunde 00097         ,  5607.29
00098,Kunde 00098         , 93171.52
00099,Kunde 00099         , 61852.63
00100,Kunde 00100         , 76343.43
00101,Kunde 00101         , 66492.87
00102,Kunde 00102         , 13550.28
00103,Kunde 00103         , 26519.79
00104,Kunde 00104         , 33544.58
00105,Kunde 00105         , 67711.85
00106,Kunde 00106         , 98833.58
00107,Kunde 00107         , 92105.59
00108,Kunde 00108         , 76011.54
00109,Kunde 00109         , 83769.31
00110,Kunde 00110         , 54936.83
00111,Kunde 00111         , 58960.84
00112,Kunde 00112         ,  7530.27
00113,Kunde 00113         , 24165.14
00114,Kunde 00114         ,  9822.89
00115,Kunde 00115         , 36220.62
00116,Kunde 00116         , 21296.75
00117,Kunde 00117         ,  6388.87
00118,Kunde 00118         , 74054.96
00119,Kunde 00119         , 53182.49
00120,Kunde 00120         , 61546.96
00121,Kunde 00121         , 86261.17
00122,Kunde 00122         , 32374.28
00123,Kunde 00123         , 76423.97
00124,Kunde 00124         ,   476.99
00125,Kunde 00125         , 51389.29
00126,Kunde 00126         ,   928.75
00127,Kunde 00127         , 36566.21
00128,Kunde 00128         , 53364.08
00129,Kunde 00129         , 49890.18
00130,Kunde 00130         , 71525.00
00131,Kunde 00131         , 14394.89
00132,Kunde 00132         , 77112.14
00133,Kunde 00133         , 91654.66
00134,Kunde 00134         , 68088.72
00135,Kunde 00135         , 48591.83
00136,Kunde 00136         , 15223.31
00137,Kunde 00137         , 95228.41
00138,Kunde 00138         , 19230.30
00139,Kunde 00139         , 97664.65
00140,Kunde 00140         , 27657.62
00141,Kunde 00141         , 66714.32
00142,Kunde 00142         , 98839.91
00143,Kunde 00143         , 33370.32
00144,Kunde 00144         , 10798.62
00145,Kunde 00145         , 99454.45
00146,Kunde 00146         , 94750.85
00147,Kunde 00147         , 32928.42
00148,Kunde 00148         , 14680.48
00149,Kunde 00149         , 74859.73
00150,Kunde 00150         , 38651.93
00151,Kunde 00151         , 65912.48
00152,Kunde 00152         , 99088.76
00153,Kunde 00153         , 79798.62
00154,Kunde 00154         , 31636.73
00155,Kunde 00155         , 69838.53
00156,Kunde 00156         , 72236.52
00157,Kunde 00157         , 33327.01
00158,Kunde 00158         ,  2749.82
00159,Kunde 00159         , 76155.08
00160,Kunde 00160         , 34145.19
00161,Kunde 00161         , 57679.85
00162,Kunde 00162         , 52177.88
00163,Kunde 00163         , 37044.32
00164,Kunde 00164         , 20527.72
00165,Kunde 00165         , 50390.43
00166,Kunde 00166         ,  6912.25
00167,Kunde 00167         , 93355.68
00168,Kunde 00168         ,  6419.73
00169,Kunde 00169         , 68440.88
00170,Kunde 00170         , 33767.66
00171,Kunde 00171         , 53039.09
00172,Kunde 00172         , 99180.79
00173,Kunde 00173         , 48414.43
00174,Kunde 00174         , 82157.43
00175,Kunde 00175         , 21536.45
00176,Kunde 00176         , 17497.83
00177,Kunde 00177         ,  1061.62
00178,Kunde 00178         , 57763.54
00179,Kunde 00179         , 11003.00
00180,Kunde 00180         ,  5084.19
00181,Kunde 00181         , 34249.93
00182,Kunde 00182         , 44212.15
00183,Kunde 00183         , 81564.00
00184,Kunde 00184         ,  1191.51
00185,Kunde 00185         , 95815.76
00186,Kunde 00186         , 45657.27
00187,Kunde 00187         , 93482.27
00188,Kunde 00188         , 25685.99
00189,Kunde 00189         , 91282.29
00190,Kunde 00190         , 47545.75
00191,Kunde 00191         , 93202.14
00192,Kunde 00192         , 21272.57
00193,Kunde 00193         , 50054.01
