id,kunde,betrag
00000,Zürich 00000       , 91595.80
00001,Zürich 00001       , 32977.03
00002,Zürich 00002       , 27497.01
00003,Zürich 00003       , 45862.48
00004,Zürich 00004       , 76790.94
00005,Zürich 00005       , 62742.62
00006,Zürich 00006       , 93179.70
00007,Zürich 00007       , 22156.94
00008,Zürich 00008       , 77298.92
00009,Zürich 00009       , 89948.95
00010,Zürich 00010       , 27180.43
00011,Zürich 00011       , 37265.14
00012,Zürich 00012       , 56688.64
00013,Zürich 00013       , 91872.12
00014,Zürich 00014       , 95019.45
00015,Zürich 00015       ,  8669.95
00016,Zürich 00016       , 93124.48
00017,Zürich 00017       , 21736.62
00018,Zürich 00018       , 56571.73
00019,Zürich 00019       , 10811.15
00020,Zürich 00020       , 43084.55
00021,Zürich 00021       , 37383.13
00022,Zürich 00022       , 68689.01
00023,Zürich 00023       , 29430.04
00024,Zürich 00024       , 95787.15
00025,Zürich 00025       , 65857.72
00026,Zürich 00026       , 68672.55
00027,Zürich 00027       , 65629.30
00028,Zürich 00028       ,  2117.14
00029,Zürich 00029       , 62529.10
00030,Zürich 00030       , 48164.14
00031,Zürich 00031       , 31142.15
00032,Zürich 00032       , 74737.37
00033,Zürich 00033       ,  8885.33
00034,Zürich 00034       , 89195.15
00035,Zürich 00035       , 17570.92
00036,Zürich 00036       ,  3792.80
00037,Zürich 00037       ,  4809.34
00038,Zürich 00038       , 67209.54
00039,Zürich 00039       , 85863.51
00040,Zürich 00040       , 88063.66
00041,Zürich 00041       , 55967.58
00042,Zürich 00042       , 83043.35
00043,Zürich 00043       , 83814.83
00044,Zürich 00044       , 36491.37
00045,Zürich 00045       , 75320.38
00046,Zürich 00046       , 76654.03
00047,Zürich 00047       , 54865.06
00048,Zürich 00048       , 98352.14
00049,Zürich 00049       , 46426.18
00050,Zürich 00050       ,  5987.98
00051,Zürich 00051       , 87997.50
00052,Zürich 00052       , 65551.05
00053,Zürich 00053       , 49374.51
00054,Zürich 00054       , 94529.91
00055,Zürich 00055       , 23045.43
00056,Zürich 00056       , 38158.02
00057,Zürich 00057       ,  5571.35
00058,Zürich 00058       , 14656.21
00059,Zürich 00059       , 29185.60
00060,Zürich 00060       , 26502.44
00061,Zürich 00061       , 65717.57
00062,Zürich 00062       ,  3143.84
00063,Zürich 00063       , 42049.62
00064,Zürich 00064       ,  6808.98
00065,Zürich 00065       , 52379.71
00066,Zürich 00066       , 66396.41
00067,Zürich 00067       , 22200.54
00068,Zürich 00068       , 45734.50
00069,Zürich 00069       , 58504.13
00070,Zürich 00070       ,  2530.45
00071,Zürich 00071       , 45845.08
00072,Zürich 00072       , 16412.98
00073,Zürich 00073       , 32075.31
00074,Zürich 00074       , 81482.36
00075,Zürich 00075       , 75011.80
00076,Zürich 00076       , 68471.91
00077,Zürich 00077       , 59964.74
00078,Zürich 00078       , 52697.12
00079,Zürich 00079       , 27621.08
