trip_id,station_id,minutes
1,600001,1
2,600002,2
3,600003,3
4,600004,4
5,600005,5
6,600006,6
7,600007,7
8,600008,8
9,600009,9
10,600010,10
11,600011,11
12,600012,12
13,600013,13
14,600014,14
15,600015,15
16,600016,16
17,600017,17
18,600018,18
19,600019,19
20,600020,20
21,600021,21
22,600022,22
23,600023,23
24,600024,24
25,600025,25
26,600026,26
27,600027,27
28,600028,28
29,600029,29
30,600030,30
31,600031,31
32,600032,32
33,600033,33
34,600034,34
35,600035,35
36,600036,36
37,600037,37
38,600038,38
39,600039,39
40,600040,40
41,600041,41
42,600042,42
43,600043,43
44,600044,44
45,600045,45
46,600046,46
47,600047,47
48,600048,48
49,600049,49
50,600050,50
51,600051,51
52,600052,52
53,600053,53
54,600054,54
55,600055,55
56,600056,56
57,600057,57
58,600058,58
59,600059,59
60,600060,0
61,600061,1
62,600062,2
63,600063,3
64,600064,4
65,600065,5
66,600066,6
67,600067,7
68,600068,8
69,600069,9
70,600070,10
71,600071,11
72,600072,12
73,600073,13
74,600074,14
75,600075,15
76,600076,16
77,600077,17
78,600078,18
79,600079,19
80,600080,20
81,600081,21
82,600082,22
83,600083,23
84,600084,24
85,600085,25
86,600086,26
87,600087,27
88,600088,28
89,600089,29
90,600090,30
91,600091,31
92,600092,32
93,600093,33
94,600094,34
95,600095,35
96,600096,36
97,600097,37
98,600098,38
99,600099,39
100,600100,40
101,600101,41
102,600102,42
103,600103,43
104,600104,44
105,600105,45
106,600106,46
107,600107,47
108,600108,48
109,600109,49
110,600110,50
111,600111,51
112,600112,52
113,600113,53
114,600114,54
115,600115,55
116,600116,56
117,600117,57
118,600118,58
119,600119,59
120,600120,0
121,600121,1
122,600122,2
123,600123,3
124,600124,4
125,600125,5
126,600126,6
127,600127,7
128,600128,8
129,600129,9
130,600130,10
131,600131,11
132,600132,12
133,600133,13
134,600134,14
135,600135,15
136,600136,16
137,600137,17
138,600138,18
139,600139,19
140,600140,20
141,600141,21
142,600142,22
143,600143,23
144,600144,24
145,600145,25
146,600146,26
147,600147,27
148,600148,28
149,600149,29
150,600150,30
151,600151,31
152,600152,32
153,600153,33
154,600154,34
155,600155,35
156,600156,36
157,600157,37
158,600158,38
159,600159,39
160,600160,40
161,600161,41
162,600162,42
163,600163,43
164,600164,44
165,600165,45
166,600166,46
167,600167,47
168,600168,48
169,600169,49
170,600170,50
171,600171,51
172,600172,52
173,600173,53
174,600174,54
175,600175,55
176,600176,56
177,600177,57
178,600178,58
179,600179,59
180,600180,0
181,600181,1
182,600182,2
183,600183,3
184,600184,4
185,600185,5
186,600186,6
187,600187,7
188,600188,8
189,600189,9
190,600190,10
191,600191,11
192,600192,12
193,600193,13
194,600194,14
195,600195,15
196,600196,16
197,600197,17
198,600198,18
199,600199,19
200,600200,20
201,600201,21
202,600202,22
203,600203,23
204,600204,24
205,600205,25
206,600206,26
207,600207,27
208,600208,28
209,600209,29
210,600210,30
211,600211,31
212,600212,32
213,600213,33
214,600214,34
215,600215,35
216,600216,36
217,600217,37
218,600218,38
219,600219,39
220,600220,40
221,600221,41
222,600222,42
223,600223,43
224,600224,44
225,600225,45
226,600226,46
227,600227,47
228,600228,48
229,600229,49
230,600230,50
231,600231,51
232,600232,52
233,600233,53
234,600234,54
235,600235,55
236,600236,56
237,600237,57
238,600238,58
239,600239,59
240,600240,0
241,600241,1
242,600242,2
243,600243,3
244,600244,4
245,600245,5
246,600246,6
247,600247,7
248,600248,8
249,600249,9
250,600250,10
251,600251,11
252,600252,12
253,600253,13
254,600254,14
255,600255,15
256,600256,16
257,600257,17
258,600258,18
259,600259,19
260,600260,20
261,600261,21
262,600262,22
263,600263,23
264,600264,24
265,600265,25
266,600266,26
267,600267,27
268,600268,28
269,600269,29
270,600270,30
271,600271,31
272,600272,32
273,600273,33
274,600274,34
275,600275,35
276,600276,36
277,600277,37
278,600278,38
279,600279,39
280,600280,40
281,600281,41
282,600282,42
283,600283,43
284,600284,44
285,600285,45
286,600286,46
287,600287,47
288,600288,48
289,600289,49
290,600290,50
291,600291,51
292,600292,52
293,600293,53
294,600294,54
295,600295,55
296,600296,56
297,600297,57
298,600298,58
299,600299,59
300,600300,0
301,600301,1
302,600302,2
303,600303,3
304,600304,4
305,600305,5
306,600306,6
307,600307,7
308,600308,8
309,600309,9
310,600310,10
311,600311,11
312,600312,12
313,600313,13
314,600314,14
315,600315,15
316,600316,16
317,600317,17
318,600318,18
319,600319,19
320,600320,20
321,600321,21
322,600322,22
323,600323,23
324,600324,24
325,600325,25
326,600326,26
327,600327,27
328,600328,28
329,600329,29
330,600330,30
331,600331,31
332,600332,32
333,600333,33
334,600334,34
335,600335,35
336,600336,36
337,600337,37
338,600338,38
339,600339,39
340,600340,40
341,600341,41
342,600342,42
343,600343,43
344,600344,44
345,600345,45
346,600346,46
347,600347,47
348,600348,48
349,600349,49
350,600350,50
351,600351,51
352,600352,52
353,600353,53
354,600354,54
355,600355,55
356,600356,56
357,600357,57
358,600358,58
359,600359,59
360,600360,0
361,600361,1
362,600362,2
363,600363,3
364,600364,4
365,600365,5
366,600366,6
367,600367,7
368,600368,8
369,600369,9
370,600370,10
371,600371,11
372,600372,12
373,600373,13
374,600374,14
375,600375,15
376,600376,16
377,600377,17
378,600378,18
379,600379,19
380,600380,20
381,600381,21
382,600382,22
383,600383,23
384,600384,24
385,600385,25
386,600386,26
387,600387,27
388,600388,28
389,600389,29
390,600390,30
391,600391,31
392,600392,32
393,600393,33
394,600394,34
395,600395,35
396,600396,36
397,600397,37
398,600398,38
399,600399,39
400,600400,40
401,600401,41
402,600402,42
403,600403,43
404,600404,44
405,600405,45
406,600406,46
407,600407,47
408,600408,48
409,600409,49
410,600410,50
411,600411,51
412,600412,52
413,600413,53
414,600414,54
415,600415,55
416,600416,56
