invoice,amount,customer
1,101,K0001
2,102,K0002
3,103,K0003
4,104,K0004
5,105,K0005
6,106,K0006
7,107,K0007
8,108,K0008
9,109,K0009
10,110,K0010
11,111,K0011
12,112,K0012
13,113,K0013
14,114,K0014
15,115,K0015
16,116,K0016
17,117,K0017
18,118,K0018
19,119,K0019
20,120,K0020
21,121,K0021
22,122,K0022
23,123,K0023
24,124,K0024
25,125,K0025
26,126,K0026
27,127,K0027
28,128,K0028
29,129,K0029
30,130,K0030
31,131,K0031
32,132,K0032
33,133,K0033
34,134,K0034
35,135,K0035
36,136,K0036
37,137,K0037
38,138,K0038
39,139,K0039
40,140,K0040
41,141,K0041
42,142,K0042
43,143,K0043
44,144,K0044
45,145,K0045
46,146,K0046
47,147,K0047
48,148,K0048
49,149,K0049
50,150,K0050
51,151,K0051
52,152,K0052
53,153,K0053
54,154,K0054
55,155,K0055
56,156,K0056
57,157,K0057
58,158,K0058
59,159,K0059
60,160,K0060
61,161,K0061
62,162,K0062
63,163,K0063
64,164,K0064
65,165,K0065
66,166,K0066
67,167,K0067
68,168,K0068
69,169,K0069
70,170,K0070
71,171,K0071
72,172,K0072
73,173,K0073
74,174,K0074
75,175,K0075
76,176,K0076
77,177,K0077
78,178,K0078
79,179,K0079
80,180,K0080
81,181,K0081
82,182,K0082
83,183,K0083
84,184,K0084
85,185,K0085
86,186,K0086
87,187,K0087
88,188,K0088
89,189,K0089
90,190,K0090
91,191,K0091
92,192,K0092
93,193,K0093
94,194,K0094
95,195,K0095
96,196,K0096
97,197,K0097
98,198,K0098
99,199,K0099
100,200,K0100
101,201,K0101
102,202,K0102
103,203,K0103
104,204,K0104
105,205,K0105
106,206,K0106
107,207,K0107
108,208,K0108
109,209,K0109
110,210,K0110
111,211,K0111
112,212,K0112
113,213,K0113
114,214,K0114
115,215,K0115
116,216,K0116
117,217,K0117
118,218,K0118
119,219,K0119
120,220,K0120
121,221,K0121
122,222,K0122
123,223,K0123
124,224,K0124
125,225,K0125
126,226,K0126
127,227,K0127
128,228,K0128
129,229,K0129
130,230,K0130
131,231,K0131
132,232,K0132
133,233,K0133
134,234,K0134
135,235,K0135
136,236,K0136
137,237,K0137
138,238,K0138
139,239,K0139
140,240,K0140
141,241,K0141
142,242,K0142
143,243,K0143
144,244,K0144
145,245,K0145
146,246,K0146
147,247,K0147
148,248,K0148
149,249,K0149
150,250,K0150
151,251,K0151
152,252,K0152
153,253,K0153
154,254,K0154
155,255,K0155
156,256,K0156
157,257,K0157
158,258,K0158
159,259,K0159
160,260,K0160
161,261,K0161
162,262,K0162
163,263,K0163
164,264,K0164
165,265,K0165
166,266,K0166
167,267,K0167
168,268,K0168
169,269,K0169
170,270,K0170
171,271,K0171
172,272,K0172
173,273,K0173
174,274,K0174
175,275,K0175
176,276,K0176
177,277,K0177
178,278,K0178
179,279,K0179
180,280,K0180
181,281,K0181
182,282,K0182
183,283,K0183
184,284,K0184
185,285,K0185
186,286,K0186
187,287,K0187
188,288,K0188
189,289,K0189
190,290,K0190
191,291,K0191
192,292,K0192
193,293,K0193
194,294,K0194
195,295,K0195
196,296,K0196
197,297,K0197
198,298,K0198
199,299,K0199
200,300,K0200
201,301,K0201
202,302,K0202
203,303,K0203
204,304,K0204
205,305,K0205
206,306,K0206
207,307,K0207
208,308,K0208
209,309,K0209
210,310,K0210
211,311,K0211
212,312,K0212
213,313,K0213
214,314,K0214
215,315,K0215
216,316,K0216
217,317,K0217
218,318,K0218
219,319,K0219
220,320,K0220
221,321,K0221
222,322,K0222
223,323,K0223
224,324,K0224
225,325,K0225
226,326,K0226
227,327,K0227
228,328,K0228
229,329,K0229
230,330,K0230
231,331,K0231
232,332,K0232
233,333,K0233
234,334,K0234
235,335,K0235
236,336,K0236
237,337,K0237
238,338,K0238
239,339,K0239
240,340,K0240
241,341,K0241
242,342,K0242
243,343,K0243
244,344,K0244
245,345,K0245
246,346,K0246
247,347,K0247
248,348,K0248
249,349,K0249
250,350,K0250
251,351,K0251
252,352,K0252
253,353,K0253
254,354,K0254
255,355,K0255
256,356,K0256
257,357,K0257
258,358,K0258
259,359,K0259
260,360,K0260
261,361,K0261
262,362,K0262
263,363,K0263
264,364,K0264
265,365,K0265
266,366,K0266
267,367,K0267
268,368,K0268
269,369,K0269
270,370,K0270
271,371,K0271
272,372,K0272
273,373,K0273
274,374,K0274
275,375,K0275
276,376,K0276
277,377,K0277
278,378,K0278
279,379,K0279
280,380,K0280
281,381,K0281
282,382,K0282
283,383,K0283
284,384,K0284
285,385,K0285
286,386,K0286
287,387,K0287
288,388,K0288
289,389,K0289
290,390,K0290
291,391,K0291
292,392,K0292
293,393,K0293
294,394,K0294
295,395,K0295
296,396,K0296
297,397,K0297
298,398,K0298
299,399,K0299
300,400,K0300
301,401,K0301
302,402,K0302
303,403,K0303
304,404,K0304
305,405,K0305
306,406,K0306
307,407,K0307
308,408,K0308
309,409,K0309
310,410,K0310
311,411,K0311
312,412,K0312
313,413,K0313
314,414,K0314
315,415,K0315
316,416,K0316
317,417,K0317
318,418,K0318
319,419,K0319
320,420,K0320
321,421,K0321
322,422,K0322
323,423,K0323
324,424,K0324
325,425,K0325
326,426,K0326
327,427,K0327
328,428,K0328
329,429,K0329
330,430,K0330
331,431,K0331
332,432,K0332
333,433,K0333
334,434,K0334
335,435,K0335
336,436,K0336
337,437,K0337
338,438,K0338
339,439,K0339
340,440,K0340
341,441,K0341
342,442,K0342
343,443,K0343
344,444,K0344
345,445,K0345
346,446,K0346
347,447,K0347
348,448,K0348
349,449,K0349
350,450,K0350
351,451,K0351
352,452,K0352
353,453,K0353
354,454,K0354
355,455,K0355
356,456,K0356
357,457,K0357
358,458,K0358
359,459,K0359
360,460,K0360
361,461,K0361
362,462,K0362
363,463,K0363
364,464,K0364
365,465,K0365
366,466,K0366
367,467,K0367
368,468,K0368
369,469,K0369
370,470,K0370
371,471,K0371
372,472,K0372
373,473,K0373
374,474,K0374
375,475,K0375
376,476,K0376
377,477,K0377
378,478,K0378
379,479,K0379
380,480,K0380
381,481,K0381
382,482,K0382
383,483,K0383
384,484,K0384
385,485,K0385
386,486,K0386
387,487,K0387
388,488,K0388
389,489,K0389
390,490,K0390
391,491,K0391
392,492,K0392
393,493,K0393
394,494,K0394
395,495,K0395
396,496,K0396
397,497,K0397
398,498,K0398
399,499,K0399
400,500,K0400
401,501,K0401
402,502,K0402
403,503,K0403
404,504,K0404
405,505,K0405
406,506,K0406
407,507,K0407
408,508,K0408
409,509,K0409
410,510,K0410
411,511,K0411
412,512,K0412
413,513,K0413
414,514,K0414
415,515,K0415
416,516,K0416
417,517,K0417
418,518,K0418
419,519,K0419
420,520,K0420
421,521,K0421
422,522,K0422
423,523,K0423
424,524,K0424
425,525,K0425
426,526,K0426
427,527,K0427
428,528,K0428
429,529,K0429
430,530,K0430
431,531,K0431
432,532,K0432
433,533,K0433
434,534,K0434
435,535,K0435
436,536,K0436
437,537,K0437
438,538,K0438
439,539,K0439
440,540,K0440
441,541,K0441
442,542,K0442
443,543,K0443
444,544,K0444
445,545,K0445
446,546,K0446
447,547,K0447
448,548,K0448
449,549,K0449
450,550,K0450
451,551,K0451
452,552,K0452
453,553,K0453
454,554,K0454
455,555,K0455
456,556,K0456
457,557,K0457
458,558,K0458
459,559,K0459
460,560,K0460
461,561,K0461
462,562,K0462
463,563,K0463
464,564,K0464
465,565,K0465
466,566,K0466
467,567,K0467
468,568,K0468
469,569,K0469
470,570,K0470
471,571,K0471
472,572,K0472
473,573,K0473
474,574,K0474
475,575,K0475
476,576,K0476
477,577,K0477
478,578,K0478
479,579,K0479
480,580,K0480
481,581,K0481
482,582,K0482
483,583,K0483
484,584,K0484
485,585,K0485
486,586,K0486
487,587,K0487
488,588,K0488
489,589,K0489
490,590,K0490
491,591,K0491
492,592,K0492
493,593,K0493
494,594,K0494
495,595,K0495
496,596,K0496
497,597,K0497
498,598,K0498
499,599,K0499
500,600,K0500
Invoice number,Total,Client
501,601,K0501
502,602,K0502
503,603,K0503
504,604,K0504
505,605,K0505
506,606,K0506
507,607,K0507
508,608,K0508
509,609,K0509
510,610,K0510
511,611,K0511
512,612,K0512
513,613,K0513
514,614,K0514
515,615,K0515
516,616,K0516
517,617,K0517
518,618,K0518
519,619,K0519
520,620,K0520
521,621,K0521
522,622,K0522
523,623,K0523
524,624,K0524
525,625,K0525
526,626,K0526
527,627,K0527
528,628,K0528
529,629,K0529
530,630,K0530
531,631,K0531
532,632,K0532
533,633,K0533
534,634,K0534
535,635,K0535
536,636,K0536
537,637,K0537
538,638,K0538
539,639,K0539
540,640,K0540
541,641,K0541
542,642,K0542
543,643,K0543
544,644,K0544
545,645,K0545
546,646,K0546
547,647,K0547
548,648,K0548
549,649,K0549
550,650,K0550
551,651,K0551
552,652,K0552
553,653,K0553
554,654,K0554
555,655,K0555
556,656,K0556
557,657,K0557
558,658,K0558
559,659,K0559
560,660,K0560
561,661,K0561
562,662,K0562
563,663,K0563
564,664,K0564
565,665,K0565
566,666,K0566
567,667,K0567
568,668,K0568
569,669,K0569
570,670,K0570
571,671,K0571
572,672,K0572
573,673,K0573
574,674,K0574
575,675,K0575
576,676,K0576
577,677,K0577
578,678,K0578
579,679,K0579
580,680,K0580
581,681,K0581
582,682,K0582
583,683,K0583
584,684,K0584
585,685,K0585
586,686,K0586
587,687,K0587
588,688,K0588
589,689,K0589
590,690,K0590
591,691,K0591
592,692,K0592
593,693,K0593
594,694,K0594
595,695,K0595
596,696,K0596
597,697,K0597
598,698,K0598
599,699,K0599
600,700,K0600
601,701,K0601
602,702,K0602
603,703,K0603
604,704,K0604
605,705,K0605
606,706,K0606
607,707,K0607
608,708,K0608
609,709,K0609
610,710,K0610
611,711,K0611
612,712,K0612
613,713,K0613
614,714,K0614
615,715,K0615
616,716,K0616
617,717,K0617
618,718,K0618
619,719,K0619
620,720,K0620
621,721,K0621
622,722,K0622
623,723,K0623
624,724,K0624
625,725,K0625
626,726,K0626
627,727,K0627
628,728,K0628
629,729,K0629
630,730,K0630
631,731,K0631
632,732,K0632
633,733,K0633
634,734,K0634
635,735,K0635
636,736,K0636
637,737,K0637
638,738,K0638
639,739,K0639
640,740,K0640
641,741,K0641
642,742,K0642
643,743,K0643
644,744,K0644
645,745,K0645
646,746,K0646
647,747,K0647
648,748,K0648
649,749,K0649
650,750,K0650
651,751,K0651
652,752,K0652
653,753,K0653
654,754,K0654
655,755,K0655
656,756,K0656
657,757,K0657
658,758,K0658
659,759,K0659
660,760,K0660
661,761,K0661
662,762,K0662
663,763,K0663
664,764,K0664
665,765,K0665
666,766,K0666
667,767,K0667
668,768,K0668
669,769,K0669
670,770,K0670
671,771,K0671
672,772,K0672
673,773,K0673
674,774,K0674
675,775,K0675
676,776,K0676
677,777,K0677
678,778,K0678
679,779,K0679
680,780,K0680
681,781,K0681
682,782,K0682
683,783,K0683
684,784,K0684
685,785,K0685
686,786,K0686
687,787,K0687
688,788,K0688
689,789,K0689
690,790,K0690
691,791,K0691
692,792,K0692
693,793,K0693
694,794,K0694
695,795,K0695
696,796,K0696
697,797,K0697
698,798,K0698
699,799,K0699
700,800,K0700
701,801,K0701
702,802,K0702
703,803,K0703
704,804,K0704
705,805,K0705
706,806,K0706
707,807,K0707
708,808,K0708
709,809,K0709
710,810,K0710
711,811,K0711
712,812,K0712
713,813,K0713
714,814,K0714
715,815,K0715
716,816,K0716
717,817,K0717
718,818,K0718
719,819,K0719
720,820,K0720
721,821,K0721
722,822,K0722
723,823,K0723
724,824,K0724
725,825,K0725
726,826,K0726
727,827,K0727
728,828,K0728
729,829,K0729
730,830,K0730
731,831,K0731
732,832,K0732
733,833,K0733
734,834,K0734
735,835,K0735
736,836,K0736
737,837,K0737
738,838,K0738
739,839,K0739
740,840,K0740
741,841,K0741
742,842,K0742
743,843,K0743
744,844,K0744
745,845,K0745
746,846,K0746
747,847,K0747
748,848,K0748
749,849,K0749
750,850,K0750
751,851,K0751
752,852,K0752
753,853,K0753
754,854,K0754
755,855,K0755
756,856,K0756
757,857,K0757
758,858,K0758
759,859,K0759
760,860,K0760
761,861,K0761
762,862,K0762
763,863,K0763
764,864,K0764
765,865,K0765
766,866,K0766
767,867,K0767
768,868,K0768
769,869,K0769
770,870,K0770
771,871,K0771
772,872,K0772
773,873,K0773
774,874,K0774
775,875,K0775
776,876,K0776
777,877,K0777
778,878,K0778
779,879,K0779
780,880,K0780
781,881,K0781
782,882,K0782
783,883,K0783
784,884,K0784
785,885,K0785
786,886,K0786
787,887,K0787
788,888,K0788
789,889,K0789
790,890,K0790
791,891,K0791
792,892,K0792
793,893,K0793
794,894,K0794
795,895,K0795
796,896,K0796
797,897,K0797
798,898,K0798
799,899,K0799
800,900,K0800
801,901,K0801
802,902,K0802
803,903,K0803
804,904,K0804
805,905,K0805
806,906,K0806
807,907,K0807
808,908,K0808
809,909,K0809
810,910,K0810
811,911,K0811
812,912,K0812
813,913,K0813
814,914,K0814
815,915,K0815
816,916,K0816
817,917,K0817
818,918,K0818
819,919,K0819
820,920,K0820
821,921,K0821
822,922,K0822
823,923,K0823
824,924,K0824
825,925,K0825
826,926,K0826
827,927,K0827
828,928,K0828
829,929,K0829
830,930,K0830
831,931,K0831
832,932,K0832
833,933,K0833
834,934,K0834
835,935,K0835
836,936,K0836
837,937,K0837
838,938,K0838
839,939,K0839
840,940,K0840
841,941,K0841
842,942,K0842
843,943,K0843
844,944,K0844
845,945,K0845
846,946,K0846
847,947,K0847
848,948,K0848
849,949,K0849
850,950,K0850
851,951,K0851
852,952,K0852
853,953,K0853
854,954,K0854
855,955,K0855
856,956,K0856
857,957,K0857
858,958,K0858
859,959,K0859
860,960,K0860
861,961,K0861
862,962,K0862
863,963,K0863
864,964,K0864
865,965,K0865
866,966,K0866
867,967,K0867
868,968,K0868
869,969,K0869
870,970,K0870
871,971,K0871
872,972,K0872
873,973,K0873
874,974,K0874
875,975,K0875
876,976,K0876
877,977,K0877
878,978,K0878
879,979,K0879
880,980,K0880
881,981,K0881
882,982,K0882
883,983,K0883
884,984,K0884
885,985,K0885
886,986,K0886
887,987,K0887
888,988,K0888
889,989,K0889
890,990,K0890
891,991,K0891
892,992,K0892
893,993,K0893
894,994,K0894
895,995,K0895
896,996,K0896
897,997,K0897
898,998,K0898
899,999,K0899
900,1000,K0900
901,1001,K0901
902,1002,K0902
903,1003,K0903
904,1004,K0904
905,1005,K0905
906,1006,K0906
907,1007,K0907
908,1008,K0908
909,1009,K0909
910,1010,K0910
911,1011,K0911
912,1012,K0912
913,1013,K0913
914,1014,K0914
915,1015,K0915
916,1016,K0916
917,1017,K0917
918,1018,K0918
919,1019,K0919
920,1020,K0920
921,1021,K0921
922,1022,K0922
923,1023,K0923
924,1024,K0924
925,1025,K0925
926,1026,K0926
927,1027,K0927
928,1028,K0928
929,1029,K0929
930,1030,K0930
931,1031,K0931
932,1032,K0932
933,1033,K0933
934,1034,K0934
935,1035,K0935
936,1036,K0936
937,1037,K0937
938,1038,K0938
939,1039,K0939
940,1040,K0940
941,1041,K0941
