code,name,region
AD-0000,FFFFFFFFFF,Region0
AD-0001,FFFFFFFFFF,Region0
AD-0002,FFFFFFFFFF,Region0
AD-0003,FFFFFFFFFF,Region0
AD-0004,FFFFFFFFFF,Region0
AD-0005,FFFFFFFFFF,Region0
AD-0006,FFFFFFFFFF,Region0
AD-0007,FFFFFFFFFF,Region0
AD-0008,FFFFFFFFFF,Region0
AD-0009,FFFFFFFFFF,Region0
AD-0010,FFFFFFFFFF,Region0
AD-0011,FFFFFFFFFF,Region0
AD-0012,FFFFFFFFFF,Region0
AD-0013,FFFFFFFFFF,Region0
AD-0014,FFFFFFFFFF,Region0
AD-0015,FFFFFFFFFF,Region0
AD-0016,FFFFFFFFFF,Region0
AD-0017,FFFFFFFFFF,Region0
AD-0018,FFFFFFFFFF,Region0
AD-0019,FFFFFFFFFF,Region0
AD-0020,FFFFFFFFFF,Region0
AD-0021,FFFFFFFFFF,Region0
AD-0022,FFFFFFFFFF,Region0
AD-0023,FFFFFFFFFF,Region0
AD-0024,FFFFFFFFFF,Region0
AD-0025,FFFFFFFFFF,Region0
AD-0026,FFFFFFFFFF,Region0
AD-0027,FFFFFFFFFF,Region0
AD-0028,FFFFFFFFFF,Region0
AD-0029,FFFFFFFFFF,Region0
AD-0030,FFFFFFFFFF,Region0
AD-0031,FFFFFFFFFF,Region0
AD-0032,FFFFFFFFFF,Region0
AD-0033,FFFFFFFFFF,Region0
AD-0034,FFFFFFFFFF,Region0
AD-0035,FFFFFFFFFF,Region0
AD-0036,FFFFFFFFFF,Region0
AD-0037,FFFFFFFFFF,Region0
AD-0038,FFFFFFFFFF,Region0
AD-0039,FFFFFFFFFF,Region0
AD-0040,FFFFFFFFFF,Region0
AD-0041,FFFFFFFFFF,Region0
AD-0042,FFFFFFFFFF,Region0
AD-0043,FFFFFFFFFF,Region0
AD-0044,FFFFFFFFFF,Region0
AD-0045,FFFFFFFFFF,Region0
AD-0046,FFFFFFFFFF,Region0
AD-0047,FFFFFFFFFF,Region0
AD-0048,FFFFFFFFFF,Region0
AD-0049,FFFFFFFFFF,Region0
AD-0050,FFFFFFFFFF,Region0
AD-0051,FFFFFFFFFF,Region0
AD-0052,FFFFFFFFFF,Region0
AD-0053,FFFFFFFFFF,Region0
AD-0054,FFFFFFFFFF,Region0
AD-0055,FFFFFFFFFF,Region0
AD-0056,FFFFFFFFFF,Region0
AD-0057,FFFFFFFFFF,Region0
AD-0058,FFFFFFFFFF,Region0
AD-0059,FFFFFFFFFF,Region0
AD-0060,FFFFFFFFFF,Region0
AD-0061,FFFFFFFFFF,Region0
AD-0062,FFFFFFFFFF,Region0
AD-0063,FFFFFFFFFF,Region0
AD-0064,FFFFFFFFFF,Region0
AD-0065,FFFFFFFFFF,Region0
AD-0066,FFFFFFFFFF,Region0
AD-0067,FFFFFFFFFF,Region0
AD-0068,FFFFFFFFFF,Region0
AD-0069,FFFFFFFFFF,Region0
AD-0070,FFFFFFFFFF,Region0
AD-0071,FFFFFFFFFF,Region0
